"x","y","Astrocytes","OPCs","Proliferation","Macrophages/Microglia cells","Endothelial cells","Mesenchymal cells","Epithelial cells","Neutrophils"
9871,8517,0.0102259930413865,0.0409884507459796,0.0130213408645454,0.20448250755682,0.127303283568483,0.021459774928836,0.0839314955564941,0.498587153737456
5048,8515,0.00600421499068914,0.0133967995258428,0.00480165107242268,0.0603939987687943,0.309494117225205,0.0395826646279347,0.0875005651418303,0.478825988647282
8564,4560,0.017186387399167,0.00272384386185423,0.00627071111295021,0.0637689895287952,0.585699894879952,0.0125720854034922,0.0200253197262294,0.291752768087559
7391,8516,0.00290037647454682,4.08232772633355e-05,1.1258850085188e-07,0.0373789074770388,0.712646003065047,8.44109956247832e-05,0.000114844044517554,0.246834522077461
7116,7796,0.00602929736115687,0.000713954167855397,1.2570375903559e-05,0.0678891684480125,0.372039566140919,0.00291961350013412,0.00148268010533859,0.54891314990068
4427,10313,0.00952065212748338,0.0053340770243094,0.00155868580343695,0.117649827241526,0.441804892842643,0.032546647173261,0.0364599201813053,0.355125297606035
9734,7318,0.0246998931621939,0.0160993389881171,0.000300113366589555,0.262651873711051,0.148723405880877,0.0245457408946381,0.0339037444900118,0.489075889506521
7390,9475,0.00759354266861859,0.00209463064965771,7.33890179002481e-05,0.130952390454137,0.253477991905708,0.00706573862778161,0.00658281182553478,0.592159504850662
9047,2523,0.00816943848670834,0.00408184589784259,0.000436973511960007,0.140366140722584,0.209475650038564,0.0231939529166328,0.0247438031200646,0.589532195305643
4773,8275,0.0179420399210243,0.00366422971576598,0.00217519603981341,0.0451400740301269,0.274458736725318,0.0442666807161237,0.0533076321078472,0.559045410743981
7392,5639,0.00394629822410887,0.000216115901401343,2.2772549531753e-06,0.0131669805849142,0.798861151921888,0.000226643998585134,0.000819263542020657,0.182761268572128
7942,8276,0.00393090733830409,0.000431125397604513,1.11932499149569e-05,0.0635345011971127,0.578749218353376,0.000265214595188138,0.00128110247127875,0.351796737397221
