"gene","avg_log2FC","pct.1","pct.2","diff.pct","p_val","p_val_adj","cluster"
"CCNB2",4.93213701808778,0.483,0.023,0.46,0,0,"6"
"CDCA3",4.86692698586053,0.34,0.013,0.327,0,0,"6"
"CENPE",4.82543496313909,0.711,0.052,0.659,0,0,"6"
"ASPM",4.80089122899889,0.65,0.042,0.608,0,0,"6"
"CENPA",4.79164029601,0.173,0.006,0.167,2.87995864379953e-205,6.83644582865131e-201,"6"
"KIF18A",4.78236073812589,0.324,0.016,0.308,0,0,"6"
"TROAP",4.71894438674859,0.314,0.014,0.3,0,0,"6"
"UBE2C",4.67003734602716,0.64,0.054,0.586,0,0,"6"
"CEP55",4.63182673500012,0.308,0.016,0.292,0,0,"6"
"TTK",4.62940293337428,0.481,0.027,0.454,0,0,"6"
"CDCA8",4.61885673599385,0.469,0.028,0.441,0,0,"6"
"HMMR",4.53981220149366,0.486,0.027,0.459,0,0,"6"
"KIF14",4.49222711020769,0.446,0.027,0.419,0,0,"6"
"SGO2",4.45488131171016,0.636,0.052,0.584,0,0,"6"
"RP11-345I19.6",4.45099019796154,0.157,0.006,0.151,8.54815000334289e-175,2.02915984779354e-170,"6"
"PTTG1",4.44994161150874,0.906,0.133,0.773,0,0,"6"
"KIF2C",4.42063991680181,0.542,0.035,0.507,0,0,"6"
"ECT2",4.40390597191348,0.514,0.038,0.476,0,0,"6"
"FAM64A",4.36397757129692,0.502,0.031,0.471,0,0,"6"
"RP11-89N17.4",7.32381068871077,0.215,0.002,0.213,0,0,"7"
"BCAS1",6.26962805121224,0.872,0.045,0.827,0,0,"7"
"ACAN",6.13896766677232,0.157,0.002,0.155,2.36045009655886e-225,5.60323643921142e-221,"7"
